transaction_id,source_account,destination_account,amount,timestamp,transaction_type,channel,F3924
TXN-000001,ACC-8016,ACC-8232,520.07,2026-05-01T08:31:00,ACH_TRANSFER,web,0
TXN-000002,ACC-8119,ACC-8132,760.63,2026-05-01T10:13:00,ACH_TRANSFER,branch,0
TXN-000003,ACC-8098,ACC-8106,812.47,2026-05-01T08:58:00,ACH_TRANSFER,mobile,0
TXN-000004,ACC-8164,ACC-8213,822.17,2026-05-01T09:51:00,ACH_TRANSFER,web,0
TXN-000005,ACC-8151,ACC-8053,453.66,2026-05-01T11:04:00,P2P_PAYMENT,mobile,0
TXN-000006,ACC-8215,ACC-8069,702.61,2026-05-01T09:41:00,ACH_TRANSFER,mobile,0
TXN-000007,ACC-8191,ACC-8188,232.0,2026-05-01T11:28:00,P2P_PAYMENT,web,0
TXN-000008,ACC-8121,ACC-8127,1058.58,2026-05-01T11:24:00,P2P_PAYMENT,web,0
TXN-000009,ACC-8205,ACC-8135,685.57,2026-05-01T11:20:00,BILLPAY,web,0
TXN-000010,ACC-8190,ACC-8106,510.54,2026-05-01T10:40:00,ACH_TRANSFER,mobile,0
TXN-000011,ACC-8238,ACC-8203,5253.45,2026-05-01T10:40:00,WIRE_TRANSFER,mobile,1
TXN-000012,ACC-8070,ACC-8239,553.38,2026-05-01T11:25:00,BILLPAY,web,0
TXN-000013,ACC-8040,ACC-8104,305.16,2026-05-01T12:42:00,CARD_PAYMENT,web,0
TXN-000014,ACC-8038,ACC-8148,765.03,2026-05-01T11:28:00,CARD_PAYMENT,web,0
TXN-000015,ACC-8091,ACC-8093,167.55,2026-05-01T12:10:00,BILLPAY,mobile,0
TXN-000016,ACC-8028,ACC-8087,386.47,2026-05-01T13:32:00,ACH_TRANSFER,mobile,0
TXN-000017,ACC-8232,ACC-8062,378.59,2026-05-01T11:56:00,BILLPAY,mobile,0
TXN-000018,ACC-8023,ACC-8030,156.35,2026-05-01T14:07:00,P2P_PAYMENT,mobile,0
TXN-000019,ACC-8139,ACC-8213,660.2,2026-05-01T13:58:00,ACH_TRANSFER,web,0
TXN-000020,ACC-8103,ACC-8104,572.98,2026-05-01T14:27:00,BILLPAY,mobile,0
TXN-000021,ACC-8099,ACC-8104,873.83,2026-05-01T14:28:00,P2P_PAYMENT,mobile,0
TXN-000022,ACC-8024,ACC-8053,380.56,2026-05-01T14:05:00,CARD_PAYMENT,web,0
TXN-000023,ACC-8083,ACC-8191,228.17,2026-05-01T14:22:00,CARD_PAYMENT,web,0
TXN-000024,ACC-8187,ACC-8191,1455.88,2026-05-01T13:47:00,P2P_PAYMENT,branch,0
TXN-000025,ACC-8137,ACC-8021,412.38,2026-05-01T15:51:00,P2P_PAYMENT,web,0
TXN-000026,ACC-8105,ACC-8106,683.97,2026-05-01T14:38:00,ACH_TRANSFER,mobile,0
TXN-000027,ACC-8132,ACC-8093,624.94,2026-05-01T16:34:00,BILLPAY,web,0
TXN-000028,ACC-8184,ACC-8093,308.22,2026-05-01T14:40:00,ACH_TRANSFER,mobile,0
TXN-000029,ACC-8133,ACC-8106,874.78,2026-05-01T15:04:00,ACH_TRANSFER,mobile,0
TXN-000030,ACC-8228,ACC-8093,628.59,2026-05-01T15:14:00,BILLPAY,branch,0
TXN-000031,ACC-8039,ACC-8191,282.18,2026-05-01T15:14:00,P2P_PAYMENT,branch,0
TXN-000032,ACC-8179,ACC-8053,720.03,2026-05-01T15:17:00,ACH_TRANSFER,mobile,0
TXN-000033,ACC-8185,ACC-8098,760.05,2026-05-01T16:28:00,P2P_PAYMENT,web,0
TXN-000034,ACC-8062,ACC-8227,1102.26,2026-05-01T18:04:00,CARD_PAYMENT,web,0
TXN-000035,ACC-8036,ACC-8106,330.03,2026-05-01T18:35:00,BILLPAY,mobile,0
TXN-000036,ACC-8186,ACC-8119,594.24,2026-05-01T16:37:00,BILLPAY,mobile,0
TXN-000037,ACC-8055,ACC-8132,65.95,2026-05-01T18:52:00,BILLPAY,web,0
TXN-000038,ACC-8166,ACC-8213,546.45,2026-05-01T16:51:00,CARD_PAYMENT,web,0
TXN-000039,ACC-8177,ACC-8198,6941.16,2026-05-01T15:05:00,WIRE_TRANSFER,mobile,1
TXN-000040,ACC-8125,ACC-8152,6390.55,2026-05-01T15:17:00,WIRE_TRANSFER,mobile,1
TXN-000040-R,ACC-8152,ACC-8125,3174.12,2026-05-01T15:21:00,P2P_PAYMENT,mobile,0
TXN-000041,ACC-8143,ACC-8177,230.24,2026-05-01T19:35:00,ACH_TRANSFER,web,0
TXN-000042,ACC-8004,ACC-8191,456.84,2026-05-01T18:27:00,ACH_TRANSFER,mobile,0
TXN-000043,ACC-8127,ACC-8148,1259.09,2026-05-01T18:07:00,ACH_TRANSFER,mobile,0
TXN-000044,ACC-8089,ACC-8104,147.84,2026-05-01T19:26:00,BILLPAY,web,0
TXN-000045,ACC-8059,ACC-8148,1154.34,2026-05-01T20:37:00,BILLPAY,mobile,0
TXN-000046,ACC-8015,ACC-8106,1124.04,2026-05-01T20:57:00,CARD_PAYMENT,mobile,0
TXN-000047,ACC-8034,ACC-8143,534.68,2026-05-01T19:56:00,CARD_PAYMENT,mobile,0
TXN-000048,ACC-8027,ACC-8053,705.01,2026-05-01T20:06:00,CARD_PAYMENT,mobile,0
TXN-000049,ACC-8141,ACC-8192,738.49,2026-05-01T21:09:00,P2P_PAYMENT,web,0
TXN-000050,ACC-8210,ACC-8128,612.76,2026-05-01T21:08:00,CARD_PAYMENT,mobile,0
TXN-000051,ACC-8137,ACC-8191,328.52,2026-05-01T19:57:00,CARD_PAYMENT,web,0
TXN-000052,ACC-8012,ACC-8165,899.68,2026-05-01T20:32:00,CARD_PAYMENT,branch,0
TXN-000053,ACC-8235,ACC-8139,654.69,2026-05-01T22:06:00,ACH_TRANSFER,web,0
TXN-000054,ACC-8032,ACC-8106,1052.02,2026-05-01T22:27:00,BILLPAY,web,0
TXN-000055,ACC-8092,ACC-8191,535.86,2026-05-01T21:02:00,P2P_PAYMENT,web,0
TXN-000056,ACC-8100,ACC-8145,4211.96,2026-05-01T18:17:00,WIRE_TRANSFER,mobile,1
TXN-000057,ACC-8056,ACC-8071,803.14,2026-05-01T22:20:00,ACH_TRANSFER,mobile,0
TXN-000058,ACC-8110,ACC-8128,762.92,2026-05-01T23:26:00,CARD_PAYMENT,web,0
TXN-000059,ACC-8183,ACC-8093,917.08,2026-05-01T22:04:00,CARD_PAYMENT,web,0
TXN-000060,ACC-8120,ACC-8021,967.95,2026-05-01T22:01:00,BILLPAY,web,0
TXN-000061,ACC-8139,ACC-8020,621.25,2026-05-02T00:33:00,ACH_TRANSFER,web,0
TXN-000062,ACC-8097,ACC-8142,444.3,2026-05-02T00:45:00,ACH_TRANSFER,mobile,0
TXN-000063,ACC-8173,ACC-8127,727.36,2026-05-01T23:58:00,CARD_PAYMENT,web,0
TXN-000064,ACC-8114,ACC-8213,660.17,2026-05-02T00:49:00,ACH_TRANSFER,web,0
TXN-000065,ACC-8056,ACC-8143,805.45,2026-05-01T23:14:00,ACH_TRANSFER,mobile,0
TXN-000066,ACC-8117,ACC-8093,480.14,2026-05-02T00:57:00,CARD_PAYMENT,mobile,0
TXN-000067,ACC-8177,ACC-8075,8809.44,2026-05-01T20:35:00,WIRE_TRANSFER,mobile,1
TXN-000067-R,ACC-8075,ACC-8177,5969.67,2026-05-01T22:49:00,CRYPTO_EXCHANGE,branch,0
TXN-000068,ACC-8091,ACC-8042,409.77,2026-05-02T01:16:00,BILLPAY,web,0
TXN-000069,ACC-8115,ACC-8093,879.9,2026-05-02T00:59:00,ACH_TRANSFER,branch,0
TXN-000070,ACC-8028,ACC-8210,79.01,2026-05-02T00:11:00,BILLPAY,web,0
TXN-000071,ACC-8164,ACC-8132,191.37,2026-05-02T02:54:00,P2P_PAYMENT,mobile,0
TXN-000072,ACC-8110,ACC-8132,786.77,2026-05-02T02:01:00,P2P_PAYMENT,web,0
TXN-000073,ACC-8026,ACC-8010,507.9,2026-05-02T00:54:00,ACH_TRANSFER,web,0
TXN-000074,ACC-8025,ACC-8005,678.71,2026-05-02T02:50:00,BILLPAY,mobile,0
